merchantName,merchantKey,originalLabel,normalizedLabel,categoryId,categoryName,subcategoryId,subcategoryName,confidence,termType,term,isActive,notes
,,KLARE AFFALDSSAKKE,klare affaldssakke,,Shared Household Spending,,Bags & Foil,0.96,,,,
,,STANNIOL,stanniol,,Shared Household Spending,,Bags & Foil,0.92,,,,
,,FOLIE,folie,,Shared Household Spending,,Bags & Foil,0.86,,,,
,,HUSHOLDNINGSFILM,husholdningsfilm,,Shared Household Spending,,Bags & Foil,0.92,,,,
,,POSER,poser,,Shared Household Spending,,Bags & Foil,0.78,,,,
,,OPVASKEBØRSTE,opvaskebørste,,Shared Household Spending,,Kitchen supplies,0.92,,,,
,,BATTERIER,batterier,,Shared Household Spending,,Batteries,0.94,,,,
,,PÆRE,pære,,Shared Household Spending,,Light bulbs,0.78,,,,
,,ELPÆRE,elpære,,Shared Household Spending,,Light bulbs,0.94,,,,
,,BLEER,bleer,,Shared Household Spending,,Diapers,0.96,,,,
,,VÅDSERVIETTER,vådservietter,,Shared Household Spending,,Baby care,0.94,,,,
,,BABYMAD,babymad,,Shared Household Spending,,Baby food,0.94,,,,
,,MODERMÆLKSERSTATNING,modermælkserstatning,,Shared Household Spending,,Baby food,0.94,,,,
,,SUTTER,sutter,,Shared Household Spending,,Baby care,0.9,,,,
,,BAMSE,bamse,,Shared Household Spending,,Toys,0.82,,,,
,,LEGO,lego,,Shared Household Spending,,Toys,0.92,,,,
,,HUNDEMAD,hundemad,,Shared Household Spending,,Pet food,0.96,,,,
,,KATTEMAD,kattemad,,Shared Household Spending,,Pet food,0.96,,,,
,,KATTEGRUS,kattegrus,,Shared Household Spending,,Pet supplies,0.96,,,,
,,GODBIDDER,godbidder,,Shared Household Spending,,Pet supplies,0.82,,,,
,,STRØMPER,strømper,,Shared Household Spending,,Clothing,0.9,,,,
,,T-SHIRT,t shirt,,Shared Household Spending,,Clothing,0.9,,,,
,,BUKSER,bukser,,Shared Household Spending,,Clothing,0.9,,,,
,,SKO,sko,,Shared Household Spending,,Shoes,0.9,,,,
,,BØGER,bøger,,Shared Household Spending,,Books,0.9,,,,
,,BOG,bog,,Shared Household Spending,,Books,0.82,,,,
,,BLOMSTER,blomster,,Shared Household Spending,,Flowers,0.9,,,,
,,GAVE,gave,,Shared Household Spending,,Gifts,0.82,,,,
,,PANODIL,panodil,,Shared Household Spending,,Pharmacy,0.95,,,,
,,IPREN,ipren,,Shared Household Spending,,Pharmacy,0.95,,,,
,,NÆSESPRAY,næsespray,,Shared Household Spending,,Pharmacy,0.94,,,,
,,HOSTESAFT,hostesaft,,Shared Household Spending,,Pharmacy,0.94,,,,
,,VITAMINER,vitaminer,,Shared Household Spending,,Pharmacy,0.9,,,,
,,PLASTER,plaster,,Shared Household Spending,,Pharmacy,0.9,,,,
,,,,,,,,,OCR_ALIAS,totlet=>toilet,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,tollet=>toilet,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,toiletpapii=>toiletpapir,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,chilt=>chili,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,k kkenruller=>køkkenruller,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,kokkenruller=>køkkenruller,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,k@kkenruller=>køkkenruller,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,minimalk=>minimælk,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,handsebe=>handsæbe,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,handsaebe=>handsæbe,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,sonderyjsk=>sønderjysk,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,spegopol=>spegepøl,true,Common OCR spelling correction
,,,,,,,,,OCR_ALIAS,oksespegepol=>oksespegepøl,true,Common OCR spelling correction
,,,,,,,,,NOISE_TOKEN,beløb,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,belob,true,OCR variant of beløb
,,,,,,,,,NOISE_TOKEN,ekskl,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,faktureret,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,heraf,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,kvittering,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,bon,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,butik,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,kasse,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,kunde,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,momsen,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,momspligtigt,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,operatoren,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,org,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,se,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,varelinje,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,transaktion,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,transaktions,true,Receipt metadata noise
,,,,,,,,,NOISE_TOKEN,økologisk,true,Product descriptor noise
,,,,,,,,,NOISE_TOKEN,okologisk,true,OCR variant of økologisk
,,,,,,,,,NOISE_TOKEN,øko,true,Product descriptor noise
,,,,,,,,,NOISE_TOKEN,oko,true,OCR variant of øko
,,,,,,,,,NOISE_TOKEN,discount,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,budget,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,xtra,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,coop,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,salling,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,gestus,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,levevis,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,änglamark,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,anglamark,true,OCR variant of Änglamark
,,,,,,,,,NOISE_TOKEN,first,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,price,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,lotus,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,arla,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,lurpak,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,kærgården,true,Store brand noise
,,,,,,,,,NOISE_TOKEN,kaergarden,true,OCR variant of Kærgården
,,,,,,,,,LOW_VALUE_WORD,approval,true,Payment authorization line
,,,,,,,,,LOW_VALUE_WORD,amount,true,Payment authorization line
,,,,,,,,,LOW_VALUE_WORD,at betale,true,Receipt total line
,,,,,,,,,LOW_VALUE_WORD,betale,true,Receipt total line
,,,,,,,,,LOW_VALUE_WORD,betalt,true,Payment line
,,,,,,,,,LOW_VALUE_WORD,betaling,true,Payment line
,,,,,,,,,LOW_VALUE_WORD,betalingskort,true,Payment line
,,,,,,,,,LOW_VALUE_WORD,byttepenge,true,Change line
,,,,,,,,,LOW_VALUE_WORD,rabat,true,Discount line
,,,,,,,,,LOW_VALUE_WORD,rabatten,true,Discount line
,,,,,,,,,LOW_VALUE_WORD,total,true,Receipt total line
,,,,,,,,,LOW_VALUE_WORD,subtotal,true,Receipt subtotal line
,,,,,,,,,LOW_VALUE_WORD,ialt,true,Receipt total line
,,,,,,,,,LOW_VALUE_WORD,i alt,true,Receipt total line
,,,,,,,,,LOW_VALUE_WORD,kort,true,Payment line
,,,,,,,,,LOW_VALUE_WORD,kreditkort,true,Payment line
,,,,,,,,,LOW_VALUE_WORD,kontant,true,Payment line
,,,,,,,,,LOW_VALUE_WORD,mobilepay,true,Payment line
,,,,,,,,,LOW_VALUE_WORD,retur,true,Return line
,,,,,,,,,LOW_VALUE_WORD,transaction,true,Payment authorization line
